id,paragraph_id,content,paper_arxiv_id,paper_section
3102369,0,\subsection{Offline Preference Multi-Agent Datasets},2501.18944,Additional Details
3102210,0,"\paragraph{Multi-agent Reinforcement Learning.}Multi-agent Reinforcement Learning.
We focus on cooperative MARL, modeled as a multi-agent Partially Observable Markov Decision Process (POMDP) defined by $\mathcal{M} = \langle \mathcal{S}, \mathcal{A}, P, r, \mathcal{Z}, \mathcal{O}, n, \mathcal{N}, \gamma \rangle$\mathcal{M} = \langle \mathcal{S}, \mathcal{A}, P, r, \mathcal{Z}, \mathcal{O}, n, \mathcal{N}, \gamma \rangle where $n$n is the number of agents, and $\mathcal{N} = \{1, \ldots, n\}$\mathcal{N} = \{1, \ldots, n\} is the set of agents. The true state of the environment is denoted by $\mathbf{s} \in \mathcal{S}$\mathbf{s} \in \mathcal{S}, and the joint action space is given by $\mathcal{A} = \prod_{i \in \mathcal{N}} \mathcal{A}_i$\mathcal{A} = \prod_{i \in \mathcal{N}}i \in \mathcal{N} \mathcal{A}_i, where $\mathcal{A}_i$\mathcal{A}_i is the set of actions for agent $i \in \mathcal{N}$i \in \mathcal{N}. At each time step, every agent $i \in \mathcal{N}$i \in \mathcal{N} selects an action $a_i \in \mathcal{A}_i$a_i \in \mathcal{A}_i, resulting in a joint action $\mathbf{a} = (a_1, a_2, \dots, a_n) \in \mathcal{A}$\mathbf{a} = (a_1, a_2, \dots, a_n) \in \mathcal{A}. The transition dynamics are described by $P(\mathbf{s}'|\mathbf{s}, \mathbf{a}) : \mathcal{S} \times \mathcal{A} \times \mathcal{S} \to [0, 1]$P(\mathbf{s}'|\mathbf{s}, \mathbf{a}) : \mathcal{S} \times \mathcal{A} \times \mathcal{S} \to [0, 1], which is the probability of moving to the next state $\mathbf{s}'$\mathbf{s}' given the current state $\mathbf{s}$\mathbf{s} and joint action $\mathbf{a}$\mathbf{a}. The discount factor $\gamma \in [0, 1)$\gamma \in [0, 1) determines the relative importance of future rewards.",2501.18944,Background
3102271,0,"\paragraph{Summary.}Summary. We explored preference-based learning in multi-agent environments, proposing a novel end-to-end method based on the MaxEnt RL framework that eliminates the need for explicit reward modeling. To facilitate efficient training, we developed a new value factorization approach that learns the global preference-based loss function by updating local value functions. Key properties, including global-local consistency and convexity, were thoroughly examined. Extensive experiments on both rule-based and LLM-based datasets show that our algorithm outperforms existing methods across multiple benchmark tasks in the MAMuJoCo and SMAC environments.
\paragraph{Limitations and Future Work.}Limitations and Future Work. The strong performance of LLM-based preference data suggests that leveraging LLMs, coupled with a systematic value factorization approach, can be highly effective for training policies in complex multi-agent environments. This opens promising avenues for using LLMs to enhance both environment understanding and policy learning. However, our work has some limitations that need further exploration. For example, we primarily focus on cooperative learning, while more challenging mixed cooperative-competitive environments would require different methodologies. Additionally, our method still depends on a large number of preference-based demonstrations for optimal policy learning. Although LLMs can quickly generate extensive demonstrations, improving sample efficiency remains a key challenge, particularly when data must be collected from real human feedback.",2501.18944,Conclusion
3102260,0,"We evaluate the performance of our O-MAPL in different complex MARL environments, including: multi-agent StarCraft II (i.e., SMACv1~\citep{samvelyan2019starcraft}, SMACv2~\citep{ellis2022smacv2}) and multi-agent Mujoco~\citep{de2020deep} benchmarks. Detailed descriptions of these benchmarks are in the appendix.",2501.18944,Experiments
3102273,0,"{This paper presents work whose goal is to advance the field of 
Machine Learning, in particular multi-agent  reinforcement learning. There are many potential societal consequences 
of our work, none which we feel must be specifically highlighted here.}This paper presents work whose goal is to advance the field of 
Machine Learning, in particular multi-agent  reinforcement learning. There are many potential societal consequences 
of our work, none which we feel must be specifically highlighted here.",2501.18944,Impact Statement
3102197,0,"Reinforcement learning (RL) has been instrumental in a wide range of decision making tasks, where agents gradually learn to operate effectively through interactions with their environment~\citep{levine2016end,silver2017mastering,kalashnikov2018scalable,haydari2020deep}. Typically, when an agent takes an action, it receives feedback in the form of reward signals, enabling it to adjust or revise its action plan (i.e., policy). However, designing an appropriate reward function is a significant challenge in many real-world domains. While essential for training successful RL agents, reward design often requires extensive instrumentation or engineering~\cite{yahya2017collective,schenck2017visual,peng2020learning,yu2020meta,zhu2020ingredients}. Moreover, such reward functions can be exploited by RL algorithms, which might find ways to achieve high expected returns by inducing unexpected or undesirable behaviors~\cite{hadfield2017inverse,turner2020avoiding}.",2501.18944,Introduction
3102277,0,"\raggedbottom
We provide proofs that are omitted in the main paper.",2501.18944,Missing Proofs
3102217,0,\subsection{Preference-based Inverse Q-learning },2501.18944,Multi-agent Preference-based RL (PbRL)
3102252,0,"In the context of POMDPs, we do not have direct access to the global states. 
To better reflect the practical aspects, we change the notation of global states used previously to global observations. For example, the local value function is now defined as a function of local observations, \( v_i(o_i) \) v_i(o_i) .",2501.18944,Practical Algorithm
3102205,0,"\paragraph{Offline multi-agent reinforcement learning (MARL).}Offline multi-agent reinforcement learning (MARL).Our work is related to offline MARL, relying solely on offline data to learn policies without direct interaction with the environment. Unlike standard offline MARL, we consider data only showing pairwise trajectory preferences (without rewards). Like offline MARL, it faces challenges such as distributional shift and complex interactions in large joint state and action spaces. Many existing MARL methods use the CTDE framework~\cite{oliehoek2008optimal,kraemer2016multi}, enabling efficient learning while allowing independent operation of agents. Regularization techniques are also applied to mitigate distributional shift~\citep{yang2021believe,pan2022plan,shao2024counterfactual,wang2024offline_OMIGA}.",2501.18944,Related Work
3102370,1,"In this section, we provide a detailed description of how we constructed the dataset for preference learning tasks. Our datasets span both discrete and continuous domains, covering the environments SMACv1, SMACv2, and MaMujoco. The datasets are designed to include varying qualities of data, sampled trajectory pairs, and their preference labels to facilitate preference learning.
To create datasets suitable for preference learning, we sampled trajectory pairs from varying quality offline datasets and generated preference labels. The labeling process was performed using two approaches:
\begin{itemize}
    \item \textbf{Rule-based Methods:} Following IPL~\cite{hejna2024inverse}, we sampled trajectory pairs and assigned binary preference labels based on dataset quality (e.g., poor, medium, expert).
    \item \textbf{LLM-based Methods:} Following DPM~\cite{kang2024dpm}, we sampled trajectory pairs and annotated them using preference policies from large language models (e.g., Llama 3, GPT-4o).
\end{itemize}\begin{itemize}
    \item \textbf{Rule-based Methods:} Following IPL~\cite{hejna2024inverse}, we sampled trajectory pairs and assigned binary preference labels based on dataset quality (e.g., poor, medium, expert).
    \item \textbf{LLM-based Methods:} Following DPM~\cite{kang2024dpm}, we sampled trajectory pairs and annotated them using preference policies from large language models (e.g., Llama 3, GPT-4o).
\end{itemize}
    \item \textbf{Rule-based Methods:} Following IPL~\cite{hejna2024inverse}, we sampled trajectory pairs and assigned binary preference labels based on dataset quality (e.g., poor, medium, expert).
    \item \textbf{LLM-based Methods:} Following DPM~\cite{kang2024dpm}, we sampled trajectory pairs and annotated them using preference policies from large language models (e.g., Llama 3, GPT-4o).",2501.18944,Additional Details
3102211,1,"In partial observability settings, each agent receives a local observation $o_i \in \mathcal{O}_i$o_i \in \mathcal{O}_i based on the function $\mathcal{Z}_i(\mathbf{s}) : \mathcal{S} \to \mathcal{O}_i$\mathcal{Z}_i(\mathbf{s}) : \mathcal{S} \to \mathcal{O}_i, and the joint observation is denoted by $\mathbf{o} = (o_1, o_2, \dots, o_n)$\mathbf{o} = (o_1, o_2, \dots, o_n). In cooperative MARL, agents share a global reward function $r(\mathbf{s}, \mathbf{a}) : \mathcal{S} \times \mathcal{A} \to \mathbb{R}$r(\mathbf{s}, \mathbf{a}) : \mathcal{S} \times \mathcal{A} \to \mathbb{R}. The objective is to learn a joint policy $\mathbf{\pi}_{\text{tot}} = \{\pi_1, \dots, \pi_n\}$\mathbf{\pi}_{\text{tot}}\text{tot} = \{\pi_1, \dots, \pi_n\} that maximizes the expected discounted cumulative rewards $\mathbb{E}_{(\mathbf{o}, \mathbf{a}) \sim \mathbf{\pi}_{\text{tot}}} \left[\sum_{t=0}^{\infty} \gamma^t r(\mathbf{s}_t, \mathbf{a}_t)\right]$\mathbb{E}_{(\mathbf{o}, \mathbf{a}) \sim \mathbf{\pi}_{\text{tot}}}(\mathbf{o}, \mathbf{a}) \sim \mathbf{\pi}_{\text{tot}}\text{tot} \left[\sum_{t=0}t=0^{\infty}\infty \gamma^t r(\mathbf{s}_t, \mathbf{a}_t)\right].  In offline settings, a dataset $\mathcal{D}$\mathcal{D} is pre-collected by sampling from a behavior policy $\mu_{\text{tot}} = \{\mu_1, \dots, \mu_n\}$\mu_{\text{tot}}\text{tot} = \{\mu_1, \dots, \mu_n\}. Policy learning is then carried out using this dataset $\mathcal{D}$\mathcal{D} only.",2501.18944,Background
3102272,1,\clearpage,2501.18944,Conclusion
3102261,1,"\caption{Win rate comparison (in percentage) for SMACv1 (first 4 tasks) \& SMACv2.}
\label{tab:SMAC:winrates}",2501.18944,Experiments
3102274,1,\nocite{langley00}langley00,2501.18944,Impact Statement
3102198,1,"To address these challenges, many RL studies have relaxed the reward structure by using sparse rewards, where agents receive feedback periodically~\cite{arjona2019rudder,ren2021learning,zhang2024interpretable}. While this reduces the need for dense reward signals, it is often insufficient to train effective agents in complex domains. Alternatively, imitation learning (IL) has been explored, where agents learn to mimic an expert’s policy from demonstrations, without explicit reward signals~\cite{ho2016generative,fu2017learning,garg2021iq,maiinverse}. However, achieving expert-level performance with IL requires a large amount of expert data, which can be costly and difficult to obtain.",2501.18944,Introduction
3102278,1,"\subsection{Proof of Proposition \ref{prop:convex}}
\textbf{Proposition \ref{prop:convex}: }
 \textit{   The preference-based loss function \( \mathcal{L}(\mathbf{q}, \mathbf{v}, w) \) is concave in \( \mathbf{q} \) and \( w \) (the parameters of the mixing networks), while the extreme-V loss function \( \mathcal{J}(\mathbf{v}) \) is convex in \( \mathbf{v} \).
}
\begin{proof}
 We first recall that the preference-based loss function has the following form:
\begin{align}
    \mathcal{L}(\bq, \bv, w) = \sum_{(\sigma_1, \sigma_2) \in \mathcal{P}} \sum_{(\bs, \ba) \in \sigma_1} R_w[\bq, \bv](\bs, \ba) 
    - \log\left(e^{\sum_{\sigma_1} R_w[\bq, \bv](\bs, \ba)} + e^{\sum_{\sigma_2} R_w[\bq, \bv](\bs, \ba)}\right) 
    + \phi(R_w[\bq, \bv](\bs, \ba)). \nonumber
\end{align}",2501.18944,Missing Proofs
