id,paragraph_id,paper_section,paper_arxiv_id,reference_label,reference_type
6214504,0,Experimental Results,2505.07351v1,tab:data,table
6214506,2,Experimental Results,2505.07351v1,tab:data,table
6214511,9,Experimental Results,2505.07351v1,tab:main_table,table
6214514,14,Experimental Results,2505.07351v1,tab:nnr_comparison_full,table
6214527,8,Experimental Details,2505.07351v1,tab:main_table,table
6214549,2,Experimental Setup and Results,2407.01794v2,table:combined_real,table
6214551,14,Experimental Setup and Results,2407.01794v2,table:combined_real,table
6214553,15,Experimental Setup and Results,2407.01794v2,table:areas_sgemm,table
6214720,6,Experimental Evaluation,2501.17559v1,worstcaseevaluation,table
6214721,2,User-controllable parameters,2501.17559v1,controlableparams,table
6214722,2,Experiments on other settings,2501.17559v1,tab:15andSingapore,table
6214723,2,Experiments on other settings,2501.17559v1,tab:manhattan_performance_comparison,table
6214724,4,Faster wall-clock Convergence,2501.17559v1,tab:performance_comparison,table
6214732,2,Experiments,2410.02475v1,tab:first_training_result,table
6214733,4,Experiments,2410.02475v1,tab:second_training_result,table
6214734,5,Experiments,2410.02475v1,tab:vision-based result,table
6214754,13,Experiments,2410.13944v1,table:en-X,table
6214755,13,Experiments,2410.13944v1,table:X-en,table
6214756,13,Experiments,2410.13944v1,table:general,table
6214757,2,Analysis,2410.13944v1,table:rationale_categories,table
6214736,21,Experiments,2410.02475v1,tab:residual_ablation,table
6214759,4,Analysis,2410.13944v1,table:ablation,table
6214780,8,Discussion,2410.08964v3,tab:translation_quality,table
6214737,22,Experiments,2410.02475v1,tab:naturalness,table
6214739,14,Appendix,2410.02475v1,tab:ppo-param,table
6214815,2,Discussion on Fair Evaluation,2410.08964v3,tab:translation_quality,table
6214740,14,Appendix,2410.02475v1,tab:dagger-param,table
6214818,2,Discussion on Fair Evaluation,2410.08964v3,tab:translation_quality,table
6214820,3,Discussion on Fair Evaluation,2410.08964v3,tab:translation_quality,table
6214822,4,Discussion on Fair Evaluation,2410.08964v3,tab:translation_quality,table
