venue,paper_openreview_id,arxiv_id,title
ICLR.cc/2025/Conference,DnBjhWLVU1,2507.04683v1,Recovering Plasticity of Neural Networks via Soft Weight Rescaling
ICLR.cc/2025/Conference,imT03YXlG2,2412.05276v2,Sparse autoencoders reveal selective remapping of visual concepts during adaptation
ICLR.cc/2025/Conference,wE5xp3zBaQ,2410.08864v1,"The Good, the Bad and the Ugly: Watermarks, Transferable Attacks and Adversarial Defenses"
ICLR.cc/2025/Conference,zrdkQaf48Z,2503.20182v1,Leveraging Implicit Sentiments: Enhancing Reliability and Validity in Psychological Trait Evaluation of LLMs
ICLR.cc/2025/Conference,75PhjtbBdr,2502.03777v1,Multi-Label Test-Time Adaptation with Bound Entropy Minimization
ICLR.cc/2025/Conference,EdKSI2ijUY,2311.18232v1,LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models
ICLR.cc/2025/Conference,uClUUJk05H,2411.02728v2,Compositional simulation-based inference for time series
ICLR.cc/2025/Conference,TySMCLoGVl,2410.08681v1,Efficiently Scanning and Resampling Spatio-Temporal Tasks with Irregular Observations
ICLR.cc/2025/Conference,VNMJfBBUd5,2312.06230v2,Activation Gradient based Poisoned Sample Detection Against Backdoor Attacks
ICLR.cc/2025/Conference,wVTJRnZ11Z,2501.14211v2,When GNNs meet symmetry in ILPs: an orbit-based feature augmentation approach
