id,semantic_scholar_id,name,homepage
1,83539859,Rex Ying,https://www.semanticscholar.org/author/83539859
2,40974349,Dylan Bourgeois,https://www.semanticscholar.org/author/40974349
3,145829303,Jiaxuan You,https://www.semanticscholar.org/author/145829303
4,2095762,M. Zitnik,https://www.semanticscholar.org/author/2095762
5,1702139,J. Leskovec,https://www.semanticscholar.org/author/1702139
6,83539859,Rex Ying,https://www.semanticscholar.org/author/83539859
7,145829303,Jiaxuan You,https://www.semanticscholar.org/author/145829303
8,143622465,Christopher Morris,https://www.semanticscholar.org/author/143622465
9,145201124,Xiang Ren,https://www.semanticscholar.org/author/145201124
10,49437682,William L. Hamilton,https://www.semanticscholar.org/author/49437682
11,1702139,J. Leskovec,https://www.semanticscholar.org/author/1702139
12,ss_ashish_vaswani,Ashish Vaswani,https://ashishvaswani.com
13,ss_noam_shazeer,Noam Shazeer,https://scholar.google.com/citations?user=oR9sCGYAAAAJ
14,ss_niki_parmar,Niki Parmar,https://scholar.google.com/citations?user=oR9sCGYAAAAJ
15,ss_jakob_uszkoreit,Jakob Uszkoreit,https://scholar.google.com/citations?user=oR9sCGYAAAAJ
16,ss_llion_jones,Llion Jones,https://scholar.google.com/citations?user=oR9sCGYAAAAJ
