id,citing_arxiv_id,cited_arxiv_id,bib_title,bib_key,citing_sections,citing_paragraphs
410,1802.08773,812.4905,Kronecker graphs: An approach to modeling networks.,leskovec2010kronecker,"[""Further Related Work"", ""Introduction and Related Work"", ""Experiments""]",[]
411,1802.08773,705.4485,Mixed membership stochastic blockmodels.,airoldi2008mixed,"[""Introduction and Related Work"", ""Experiments""]",[]
414,1802.08773,1312.6114,Auto-encoding variational bayes.,kingma2013auto,"[""Introduction and Related Work"", ""Proposed Approach""]",[]
417,1802.08773,1803.10459,Graphite: Iterative generative modeling of graphs.,grovergraphite,"[""Further Related Work"", ""Introduction and Related Work"", ""Proposed Approach""]",[]
418,1802.08773,1802.0348,"GraphVAE: Towards generation of small graphs using variational   autoencoders, 2018.",simonovsky2018graphvae,"[""Further Related Work"", ""Appendix"", ""Introduction and Related Work"", ""Experiments""]",[]
421,1802.08773,1709.05584,Representation learning on graphs: Methods and applications.,hamilton2017representation,"[""Proposed Approach""]",[]
422,1802.08773,1412.3555,Empirical evaluation of gated recurrent neural networks on sequence   modeling.,chung2014empirical,"[""Proposed Approach""]",[]
427,1802.08773,1511.01844,A note on the evaluation of generative models.,Theis2016a,"[""Experiments""]",[]
429,1802.08773,1704.07555,Molecular de novo design through deep reinforcement learning.,olivecrona2017molecular,"[""Further Related Work""]",[]
430,1802.08773,1701.01329,Generating focussed molecule libraries for drug discovery with   recurrent neural networks.,segler2017generating,"[""Further Related Work""]",[]
431,1802.08773,1802.08786,Syntax-directed variational autoencoder for structured data.,dai2018syntax-directed,"[""Further Related Work""]",[]
437,1806.02473,1712.07449,"In silico generation of novel, drug-like chemical matter using the   LSTM neural network.",DBLP:journals/corr/abs-1712-07449,"[""Introduction""]",[]
440,1806.02473,1802.08786,Syntax-directed variational autoencoder for structured data.,dai2018syntax,"[""Experiments"", ""Introduction""]",[]
441,1806.02473,1704.07555,Molecular de-novo design through deep reinforcement learning.,Olivecrona2017,"[""Related Work"", ""Introduction""]",[]
453,1806.02473,1609.02907,Semi-supervised classification with graph convolutional networks.,kipf2016semi,"[""Introduction"", ""Proposed Method""]",[]
454,1806.02473,1509.09292,Convolutional networks on graphs for learning molecular fingerprints.,duvenaud2015convolutional,"[""Introduction"", ""Proposed Method""]",[]
457,1806.02473,1803.03324,Learning deep generative models of graphs.,li2018learning,"[""Related Work"", ""Proposed Method""]",[]
459,1806.02473,1609.05473,Seqgan: Sequence generative adversarial nets with policy gradient.,yu2017seqgan,"[""Proposed Method""]",[]
463,1806.02473,1706.02216,Inductive representation learning on large graphs.,hamilton2017inductive,"[""Proposed Method""]",[]
464,1806.02473,1707.06347,Proximal policy optimization algorithms.,DBLP:journals/corr/SchulmanWDRK17,"[""Proposed Method""]",[]
468,1806.02473,1606.0154,Openai gym.,DBLP:journals/corr/BrockmanCPSSTZ16,"[""Experiments""]",[]
470,1806.02473,1502.03167,Batch normalization: Accelerating deep network training by reducing   internal covariate shift.,pmlr-v37-ioffe15,"[""Experiments""]",[]
472,1806.02473,1802.0348,Graphvae: Towards generation of small graphs using variational   autoencoders.,simonovsky2018graphvae,"[""Experiments""]",[]
